,时间,open,high,low,close,交易状态,交易价格,交易数量,交易金额,交易费用,当前持仓,可用资金,资金利用率,资产价值,未实现盈亏,总资产,净值,策略,时间框架
0,2023-10-26 18:05:00,344.23,344.76,344.19,344.45,无,344.45,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
1,2023-10-26 18:10:00,344.46,345.06,344.45,344.82,无,344.82,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
2,2023-10-26 18:15:00,344.86,344.99,344.46,344.62,无,344.62,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
3,2023-10-26 18:20:00,344.66,344.81,344.43,344.52,无,344.52,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
4,2023-10-26 18:25:00,344.5,345.235,344.24,345.2,无,345.2,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
5,2023-10-26 18:30:00,345.2,346.01,344.85,345.83,无,345.83,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
6,2023-10-26 18:35:00,345.84,345.85,345.35,345.44,无,345.44,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
7,2023-10-26 18:40:00,345.44,345.89,345.17,345.5,无,345.5,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
8,2023-10-26 18:45:00,345.53,346.13,345.43,345.81,无,345.81,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
9,2023-10-26 18:50:00,345.84,346.4,345.76,346.33,无,346.33,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
10,2023-10-26 18:55:00,346.33,346.66,346.23,346.66,无,346.66,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
11,2023-10-26 19:00:00,346.655,347.0,346.47,346.82,无,346.82,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
12,2023-10-26 19:05:00,346.83,346.89,346.23,346.3,无,346.3,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
13,2023-10-26 19:10:00,346.31,346.35,345.54,345.61,无,345.61,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
14,2023-10-26 19:15:00,345.61,345.85,345.34,345.59,无,345.59,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
15,2023-10-26 19:20:00,345.62,345.81,345.3,345.57,无,345.57,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
16,2023-10-26 19:25:00,345.53,345.77,345.33,345.35,无,345.35,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
17,2023-10-26 19:30:00,345.36,345.38,344.88,344.97,无,344.97,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
18,2023-10-26 19:35:00,344.93,344.95,343.91,344.1,无,344.1,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,5min
19,2023-10-26 19:40:00,344.12,344.12,343.35,343.6,买,344.12,29,9979.48,9.97948,29,90020.52,0.09965902858151009,9964.400000000001,-15.079999999998108,99984.92000000001,0.9998,vad,5min
20,2023-10-26 19:40:00,344.12,344.12,343.35,343.6,无,343.6,0,0.0,0.0,29,90020.52,0.09965902858151009,9964.400000000001,-15.079999999998108,99984.92000000001,0.9998,vad,5min
21,2023-10-26 19:45:00,343.6,343.77,343.275,343.59,无,343.59,0,0.0,0.0,29,90020.52,0.09965641719132229,9964.109999999999,-15.3700000000008,99984.63,0.9998,vad,5min
22,2023-10-26 19:50:00,343.57,344.33,343.55,343.71,无,343.71,0,0.0,0.0,29,90020.52,0.0996877528738167,9967.59,-11.889999999999418,99988.11,0.9999,vad,5min
23,2023-10-26 19:55:00,343.69,344.02,343.45,343.6,无,343.6,0,0.0,0.0,29,90020.52,0.09965902858151009,9964.400000000001,-15.079999999998108,99984.92000000001,0.9998,vad,5min
24,2023-10-27 13:30:00,346.43,347.46,346.41,346.84,无,346.84,0,0.0,0.0,29,90020.52,0.100504322190656,10058.359999999999,78.8799999999992,100078.88,1.0008,vad,5min
25,2023-10-27 13:35:00,346.91,347.25,346.48,346.61,无,346.61,0,0.0,0.0,29,90020.52,0.10044436912105768,10051.69,72.21000000000095,100072.21,1.0007,vad,5min
26,2023-10-27 13:40:00,346.6,347.33,346.33,347.29,无,347.29,0,0.0,0.0,29,90020.52,0.1006215985644397,10071.41,91.93000000000029,100091.93000000001,1.0009,vad,5min
27,2023-10-27 13:45:00,347.3,347.62,346.09,346.18,无,346.18,0,0.0,0.0,29,90020.52,0.10033226150697572,10039.22,59.73999999999978,100059.74,1.0006,vad,5min
28,2023-10-27 13:50:00,346.185,346.85,346.09,346.11,无,346.11,0,0.0,0.0,29,90020.52,0.10031400878552987,10037.19,57.710000000000946,100057.71,1.0006,vad,5min
29,2023-10-27 13:55:00,346.1,347.03,346.07,346.93,无,346.93,0,0.0,0.0,29,90020.52,0.10052777991214958,10060.97,81.48999999999978,100081.49,1.0008,vad,5min
30,2023-10-27 14:00:00,346.95,347.32,346.13,347.25,无,347.25,0,0.0,0.0,29,90020.52,0.10061117523623807,10070.25,90.77000000000044,100090.77,1.0009,vad,5min
31,2023-10-27 14:05:00,347.29,347.67,346.15,346.5,无,346.5,0,0.0,0.0,29,90020.52,0.10041569308863023,10048.5,69.02000000000044,100069.02,1.0007,vad,5min
32,2023-10-27 14:10:00,346.52,347.97,346.52,347.4,无,347.4,0,0.0,0.0,29,90020.52,0.1006502614712885,10074.599999999999,95.11999999999898,100095.12,1.001,vad,5min
33,2023-10-27 14:15:00,347.37,347.47,346.48,346.56,无,346.56,0,0.0,0.0,29,90020.52,0.10043133478750435,10050.24,70.76000000000022,100070.76000000001,1.0007,vad,5min
34,2023-10-27 14:20:00,346.7,347.62,346.7,347.03,无,347.03,0,0.0,0.0,29,90020.52,0.10055384261221954,10063.869999999999,84.38999999999942,100084.39,1.0008,vad,5min
35,2023-10-27 14:25:00,347.03,347.701,346.78,346.9,无,346.9,0,0.0,0.0,29,90020.52,0.10051996080759691,10060.099999999999,80.61999999999898,100080.62,1.0008,vad,5min
36,2023-10-27 14:30:00,346.89,347.23,346.56,346.98,无,346.98,0,0.0,0.0,29,90020.52,0.10054081145098255,10062.42,82.94000000000051,100082.94,1.0008,vad,5min
37,2023-10-27 14:35:00,347.01,347.52,346.29,346.35,无,346.35,0,0.0,0.0,29,90020.52,0.10037658646153533,10044.150000000001,64.67000000000189,100064.67000000001,1.0006,vad,5min
38,2023-10-27 14:40:00,346.38,346.4,345.66,345.71,无,345.71,0,0.0,0.0,29,90020.52,0.10020969331041457,10025.59,46.11000000000058,100046.11,1.0005,vad,5min
39,2023-10-27 14:45:00,345.75,346.45,345.68,346.32,无,346.32,0,0.0,0.0,29,90020.52,0.10036876472810348,10043.28,63.80000000000109,100063.8,1.0006,vad,5min
40,2023-10-27 14:50:00,346.39,347.07,346.37,346.84,无,346.84,0,0.0,0.0,29,90020.52,0.100504322190656,10058.359999999999,78.8799999999992,100078.88,1.0008,vad,5min
41,2023-10-27 14:55:00,346.82,347.23,346.76,347.15,无,347.15,0,0.0,0.0,29,90020.52,0.10058511585869495,10067.349999999999,87.86999999999898,100087.87,1.0009,vad,5min
42,2023-10-27 15:00:00,347.15,347.325,346.89,347.105,无,347.105,0,0.0,0.0,29,90020.52,0.10057338864611849,10066.045,86.56500000000051,100086.565,1.0009,vad,5min
43,2023-10-27 15:05:00,347.1,347.8,347.01,347.68,无,347.68,0,0.0,0.0,29,90020.52,0.10072321335453277,10082.72,103.23999999999978,100103.24,1.001,vad,5min
44,2023-10-27 15:10:00,347.69,348.115,347.42,348.075,无,348.075,0,0.0,0.0,29,90020.52,0.10082610749600744,10094.175,114.69499999999971,100114.695,1.0011,vad,5min
45,2023-10-27 15:15:00,348.08,348.77,348.08,348.3,无,348.3,0,0.0,0.0,29,90020.52,0.1008847075574988,10100.7,121.22000000000116,100121.22,1.0012,vad,5min
46,2023-10-27 15:20:00,348.29,348.84,348.14,348.61,无,348.61,0,0.0,0.0,29,90020.52,0.10096543290980814,10109.69,130.21000000000095,100130.21,1.0013,vad,5min
47,2023-10-27 15:25:00,348.59,348.7,348.32,348.41,无,348.41,0,0.0,0.0,29,90020.52,0.10091335369666599,10103.890000000001,124.41000000000167,100124.41,1.0012,vad,5min
48,2023-10-27 15:30:00,348.41,348.52,347.49,347.56,无,347.56,0,0.0,0.0,29,90020.52,0.10069194971096833,10079.24,99.76000000000022,100099.76000000001,1.001,vad,5min
49,2023-10-27 15:35:00,347.59,348.23,347.53,347.87,无,347.87,0,0.0,0.0,29,90020.52,0.10077270967822492,10088.23,108.75,100108.75,1.0011,vad,5min
50,2023-10-27 15:40:00,347.9,348.07,347.51,347.57,无,347.57,0,0.0,0.0,29,90020.52,0.10069455509762483,10079.53,100.05000000000109,100100.05,1.001,vad,5min
51,2023-10-27 15:45:00,347.58,347.65,347.16,347.56,无,347.56,0,0.0,0.0,29,90020.52,0.10069194971096833,10079.24,99.76000000000022,100099.76000000001,1.001,vad,5min
52,2023-10-27 15:50:00,347.62,347.88,347.53,347.6,无,347.6,0,0.0,0.0,29,90020.52,0.10070237116701825,10080.400000000001,100.92000000000189,100100.92000000001,1.001,vad,5min
53,2023-10-27 15:55:00,347.56,348.07,347.555,348.01,无,348.01,0,0.0,0.0,29,90020.52,0.10080917716723763,10092.289999999999,112.80999999999949,100112.81,1.0011,vad,5min
54,2023-10-27 16:00:00,347.99,348.24,347.53,347.82,无,347.82,0,0.0,0.0,29,90020.52,0.10075968485814721,10086.78,107.30000000000109,100107.3,1.0011,vad,5min
55,2023-10-27 16:05:00,347.85,348.28,347.75,348.1,无,348.1,0,0.0,0.0,29,90020.52,0.1008326189911604,10094.900000000001,115.42000000000189,100115.42000000001,1.0012,vad,5min
56,2023-10-27 16:10:00,348.08,348.13,347.37,347.42,无,347.42,0,0.0,0.0,29,90020.52,0.10065547271261402,10075.18,95.70000000000073,100095.70000000001,1.001,vad,5min
57,2023-10-27 16:15:00,347.405,347.92,347.31,347.89,无,347.89,0,0.0,0.0,29,90020.52,0.10077791950060998,10088.81,109.32999999999993,100109.33,1.0011,vad,5min
58,2023-10-27 16:20:00,347.865,347.99,347.36,347.41,无,347.41,0,0.0,0.0,29,90020.52,0.10065286709950037,10074.890000000001,95.41000000000167,100095.41,1.001,vad,5min
59,2023-10-27 16:25:00,347.42,347.56,346.6,347.09,无,347.09,0,0.0,0.0,29,90020.52,0.10056947950730034,10065.609999999999,86.1299999999992,100086.13,1.0009,vad,5min
60,2023-10-27 16:30:00,347.15,347.22,346.85,347.17,无,347.17,0,0.0,0.0,29,90020.52,0.10059032785501223,10067.93,88.45000000000073,100088.45000000001,1.0009,vad,5min
61,2023-10-27 16:35:00,347.15,347.58,347.12,347.49,无,347.49,0,0.0,0.0,29,90020.52,0.10067371158167124,10077.210000000001,97.73000000000138,100097.73000000001,1.001,vad,5min
62,2023-10-27 16:40:00,347.49,347.52,346.93,346.95,无,346.95,0,0.0,0.0,29,90020.52,0.10053299257299533,10061.55,82.06999999999971,100082.07,1.0008,vad,5min
63,2023-10-27 16:45:00,346.95,346.955,346.58,346.58,无,346.58,0,0.0,0.0,29,90020.52,0.10043654856625284,10050.82,71.34000000000015,100071.34,1.0007,vad,5min
64,2023-10-27 16:50:00,346.63,346.65,346.13,346.56,无,346.56,0,0.0,0.0,29,90020.52,0.10043133478750435,10050.24,70.76000000000022,100070.76000000001,1.0007,vad,5min
65,2023-10-27 16:55:00,346.55,346.55,346.25,346.32,无,346.32,0,0.0,0.0,29,90020.52,0.10036876472810348,10043.28,63.80000000000109,100063.8,1.0006,vad,5min
66,2023-10-27 17:00:00,346.36,346.53,346.07,346.11,无,346.11,0,0.0,0.0,29,90020.52,0.10031400878552987,10037.19,57.710000000000946,100057.71,1.0006,vad,5min
67,2023-10-27 17:05:00,346.1,346.1,345.15,345.47,无,345.47,0,0.0,0.0,29,90020.52,0.10014709241332019,10018.630000000001,39.150000000001455,100039.15000000001,1.0004,vad,5min
68,2023-10-27 17:10:00,345.47,346.02,345.14,345.25,无,345.25,0,0.0,0.0,29,90020.52,0.1000897006051117,10012.25,32.77000000000044,100032.77,1.0003,vad,5min
69,2023-10-27 17:15:00,345.27,345.49,344.79,345.1,无,345.1,0,0.0,0.0,29,90020.52,0.10005056562924818,10007.900000000001,28.42000000000189,100028.42000000001,1.0003,vad,5min
70,2023-10-27 17:20:00,345.05,345.47,344.8,345.34,无,345.34,0,0.0,0.0,29,90020.52,0.10011317995693123,10014.859999999999,35.3799999999992,100035.38,1.0004,vad,5min
71,2023-10-27 17:25:00,345.33,345.94,345.04,345.23,无,345.23,0,0.0,0.0,29,90020.52,0.10008448280498507,10011.67,32.19000000000051,100032.19,1.0003,vad,5min
72,2023-10-27 17:30:00,345.18,345.4,344.78,345.33,无,345.33,0,0.0,0.0,29,90020.52,0.10011057120056573,10014.57,35.090000000000146,100035.09,1.0004,vad,5min
73,2023-10-27 17:35:00,345.33,345.57,344.88,345.08,无,345.08,0,0.0,0.0,29,90020.52,0.10004534737529072,10007.32,27.840000000000146,100027.84,1.0003,vad,5min
74,2023-10-27 17:40:00,345.03,345.71,344.55,345.41,无,345.41,0,0.0,0.0,29,90020.52,0.10013144082798626,10016.890000000001,37.41000000000167,100037.41,1.0004,vad,5min
75,2023-10-27 17:45:00,345.38,345.46,344.93,345.13,无,345.13,0,0.0,0.0,29,90020.52,0.10005839289672054,10008.77,29.290000000000873,100029.29000000001,1.0003,vad,5min
76,2023-10-27 17:50:00,345.12,345.58,344.7,344.77,无,344.77,0,0.0,0.0,29,90020.52,0.09996445669991207,9998.33,18.850000000000364,100018.85,1.0002,vad,5min
77,2023-10-27 17:55:00,344.77,345.0,344.56,344.89,无,344.89,0,0.0,0.0,29,90020.52,0.09999577094434813,10001.81,22.329999999999927,100022.33,1.0002,vad,5min
78,2023-10-27 18:00:00,344.88,345.09,344.44,344.6,无,344.6,0,0.0,0.0,29,90020.52,0.09992009112331564,9993.400000000001,13.920000000001892,100013.92000000001,1.0001,vad,5min
79,2023-10-27 18:05:00,344.59,344.79,344.145,344.53,无,344.53,0,0.0,0.0,29,90020.52,0.09990182167340303,9991.369999999999,11.889999999999418,100011.89,1.0001,vad,5min
80,2023-10-27 18:10:00,344.55,344.99,344.53,344.82,无,344.82,0,0.0,0.0,29,90020.52,0.09997750456657299,9999.78,20.30000000000109,100020.3,1.0002,vad,5min
81,2023-10-27 18:15:00,344.82,345.44,344.75,344.88,无,344.88,0,0.0,0.0,29,90020.52,0.0999931615072038,10001.52,22.040000000000873,100022.04000000001,1.0002,vad,5min
82,2023-10-27 18:20:00,344.87,344.89,344.22,344.54,无,344.54,0,0.0,0.0,29,90020.52,0.09990443164022621,9991.66,12.180000000000291,100012.18000000001,1.0001,vad,5min
83,2023-10-27 18:25:00,344.45,344.61,344.22,344.52,无,344.52,0,0.0,0.0,29,90020.52,0.09989921169144379,9991.08,11.600000000000364,100011.6,1.0001,vad,5min
84,2023-10-27 18:30:00,344.54,345.48,344.25,344.99,无,344.99,0,0.0,0.0,29,90020.52,0.1000218644835908,10004.710000000001,25.230000000001382,100025.23000000001,1.0003,vad,5min
85,2023-10-27 18:35:00,345.01,345.76,344.89,345.62,无,345.62,0,0.0,0.0,29,90020.52,0.10018621899473729,10022.98,43.5,100043.5,1.0004,vad,5min
86,2023-10-27 18:40:00,345.66,345.74,345.36,345.59,无,345.59,0,0.0,0.0,29,90020.52,0.10017839395065882,10022.109999999999,42.6299999999992,100042.63,1.0004,vad,5min
87,2023-10-27 18:45:00,345.6,345.86,344.91,344.97,无,344.97,0,0.0,0.0,29,90020.52,0.10001664589678644,10004.130000000001,24.650000000001455,100024.65000000001,1.0002,vad,5min
88,2023-10-27 18:50:00,345.02,345.23,344.74,344.915,无,344.915,0,0.0,0.0,29,90020.52,0.1000022944710097,10002.535,23.05500000000029,100023.05500000001,1.0002,vad,5min
89,2023-10-27 18:55:00,344.95,344.97,344.19,344.48,无,344.48,0,0.0,0.0,29,90020.52,0.09988877161224367,9989.92,10.44000000000051,100010.44,1.0001,vad,5min
90,2023-10-27 19:00:00,344.475,344.79,344.31,344.54,无,344.54,0,0.0,0.0,29,90020.52,0.09990443164022621,9991.66,12.180000000000291,100012.18000000001,1.0001,vad,5min
91,2023-10-27 19:05:00,344.51,344.92,344.45,344.73,无,344.73,0,0.0,0.0,29,90020.52,0.09995401813419207,9997.17,17.69000000000051,100017.69,1.0002,vad,5min
92,2023-10-27 19:10:00,344.71,345.23,344.53,344.79,无,344.79,0,0.0,0.0,29,90020.52,0.09996967589197418,9998.91,19.43000000000029,100019.43000000001,1.0002,vad,5min
93,2023-10-27 19:15:00,344.76,345.2,344.715,344.94,无,344.94,0,0.0,0.0,29,90020.52,0.10000881790310265,10003.26,23.780000000000655,100023.78,1.0002,vad,5min
94,2023-10-27 19:20:00,344.93,345.09,344.57,344.9,无,344.9,0,0.0,0.0,29,90020.52,0.09999838036636112,10002.099999999999,22.61999999999898,100022.62,1.0002,vad,5min
95,2023-10-27 19:25:00,344.9,345.31,344.9,345.2,无,345.2,0,0.0,0.0,29,90020.52,0.1000766559913435,10010.8,31.31999999999971,100031.32,1.0003,vad,5min
96,2023-10-27 19:30:00,345.21,345.455,344.67,344.74,无,344.74,0,0.0,0.0,29,90020.52,0.09995662779832186,9997.460000000001,17.980000000001382,100017.98000000001,1.0002,vad,5min
97,2023-10-27 19:35:00,344.745,344.76,344.18,344.21,无,344.21,0,0.0,0.0,29,90020.52,0.09981829474250722,9982.09,2.610000000000582,100002.61,1.0,vad,5min
98,2023-10-27 19:40:00,344.215,344.65,344.08,344.195,无,344.195,0,0.0,0.0,29,90020.52,0.09981437903725594,9981.655,2.1750000000010914,100002.175,1.0,vad,5min
99,2023-10-27 19:45:00,344.21,344.68,344.19,344.67,无,344.67,0,0.0,0.0,29,90020.52,0.09993835983160684,9995.43,15.950000000000728,100015.95000000001,1.0002,vad,5min
100,2023-10-27 19:50:00,344.67,345.0,344.43,344.895,无,344.895,0,0.0,0.0,29,90020.52,0.09999707565724603,10001.955,22.475000000000364,100022.475,1.0002,vad,5min
101,2023-10-27 19:55:00,344.88,345.57,344.79,345.41,无,345.41,0,0.0,0.0,29,90020.52,0.10013144082798626,10016.890000000001,37.41000000000167,100037.41,1.0004,vad,5min
102,2023-10-30 13:30:00,347.83,348.6,347.11,348.58,无,348.58,0,0.0,0.0,29,90020.52,0.10095762141246512,10108.82,129.34000000000015,100129.34,1.0013,vad,5min
103,2023-10-30 13:35:00,348.6,349.34,348.29,349.3,无,349.3,0,0.0,0.0,29,90020.52,0.1011450598910317,10129.7,150.22000000000116,100150.22,1.0015,vad,5min
104,2023-10-30 13:40:00,349.33,349.58,349.07,349.51,无,349.51,0,0.0,0.0,29,90020.52,0.10119971472591192,10135.789999999999,156.3099999999995,100156.31,1.0016,vad,5min
105,2023-10-30 13:45:00,349.6,350.36,349.56,350.22,无,350.22,0,0.0,0.0,29,90020.52,0.10138445090634668,10156.380000000001,176.90000000000146,100176.90000000001,1.0018,vad,5min
106,2023-10-30 13:50:00,350.21,350.54,349.95,350.06,无,350.06,0,0.0,0.0,29,90020.52,0.10134282684647425,10151.74,172.26000000000022,100172.26000000001,1.0017,vad,5min
107,2023-10-30 13:55:00,350.06,350.43,349.72,349.89,无,349.89,0,0.0,0.0,29,90020.52,0.1012985970575436,10146.81,167.32999999999993,100167.33,1.0017,vad,5min
108,2023-10-30 14:00:00,349.92,350.09,349.02,349.18,无,349.18,0,0.0,0.0,29,90020.52,0.10111382557235511,10126.22,146.73999999999978,100146.74,1.0015,vad,5min
109,2023-10-30 14:05:00,349.2,349.88,349.01,349.65,无,349.65,0,0.0,0.0,29,90020.52,0.10123614759010974,10139.849999999999,160.36999999999898,100160.37,1.0016,vad,5min
110,2023-10-30 14:10:00,349.64,349.78,348.85,348.96,无,348.96,0,0.0,0.0,29,90020.52,0.10105655701657154,10119.84,140.36000000000058,100140.36,1.0014,vad,5min
111,2023-10-30 14:15:00,348.96,349.01,347.66,347.85,无,347.85,0,0.0,0.0,29,90020.52,0.10076749979547124,10087.650000000001,108.17000000000189,100108.17000000001,1.0011,vad,5min
112,2023-10-30 14:20:00,347.85,347.89,347.16,347.47,无,347.47,0,0.0,0.0,29,90020.52,0.10066850055171402,10076.630000000001,97.15000000000146,100097.15000000001,1.001,vad,5min
113,2023-10-30 14:25:00,347.43,347.59,347.03,347.29,无,347.29,0,0.0,0.0,29,90020.52,0.1006215985644397,10071.41,91.93000000000029,100091.93000000001,1.0009,vad,5min
114,2023-10-30 14:30:00,347.27,347.29,346.85,347.2,无,347.2,0,0.0,0.0,29,90020.52,0.10059814573622838,10068.8,89.31999999999971,100089.32,1.0009,vad,5min
115,2023-10-30 14:35:00,347.21,347.56,346.99,347.1,无,347.1,0,0.0,0.0,29,90020.52,0.10057208560362135,10065.900000000001,86.42000000000189,100086.42000000001,1.0009,vad,5min
116,2023-10-30 14:40:00,347.14,347.51,346.57,346.59,无,346.59,0,0.0,0.0,29,90020.52,0.10043915543296335,10051.109999999999,71.6299999999992,100071.63,1.0007,vad,5min
117,2023-10-30 14:45:00,346.59,347.38,346.45,347.17,无,347.17,0,0.0,0.0,29,90020.52,0.10059032785501223,10067.93,88.45000000000073,100088.45000000001,1.0009,vad,5min
118,2023-10-30 14:50:00,347.12,347.98,347.03,347.79,无,347.79,0,0.0,0.0,29,90020.52,0.10075186978498783,10085.91,106.43000000000029,100106.43000000001,1.0011,vad,5min
119,2023-10-30 14:55:00,347.8,347.82,347.14,347.28,无,347.28,0,0.0,0.0,29,90020.52,0.10061899275503927,10071.119999999999,91.63999999999942,100091.64,1.0009,vad,5min
120,2023-10-30 15:00:00,347.37,348.42,347.35,348.25,无,348.25,0,0.0,0.0,29,90020.52,0.10087168598169971,10099.25,119.77000000000044,100119.77,1.0012,vad,5min
121,2023-10-30 15:05:00,348.28,348.57,348.1,348.27,无,348.27,0,0.0,0.0,29,90020.52,0.10087689465727996,10099.83,120.35000000000036,100120.35,1.0012,vad,5min
122,2023-10-30 15:10:00,348.26,348.62,347.74,347.755,无,347.755,0,0.0,0.0,29,90020.52,0.10074275202794973,10084.895,105.41500000000087,100105.41500000001,1.0011,vad,5min
123,2023-10-30 15:15:00,347.74,347.83,347.56,347.76,无,347.76,0,0.0,0.0,29,90020.52,0.10074405457598958,10085.039999999999,105.55999999999949,100105.56,1.0011,vad,5min
124,2023-10-30 15:20:00,347.8,347.98,346.82,347.05,无,347.05,0,0.0,0.0,29,90020.52,0.10055905497099116,10064.45,84.97000000000116,100084.97,1.0008,vad,5min
125,2023-10-30 15:25:00,347.04,347.28,346.88,347.27,无,347.27,0,0.0,0.0,29,90020.52,0.10061638693053894,10070.83,91.35000000000036,100091.35,1.0009,vad,5min
126,2023-10-30 15:30:00,347.28,347.82,347.24,347.78,无,347.78,0,0.0,0.0,29,90020.52,0.10074926473041512,10085.619999999999,106.13999999999942,100106.14,1.0011,vad,5min
127,2023-10-30 15:35:00,347.81,348.22,347.31,347.33,无,347.33,0,0.0,0.0,29,90020.52,0.10063202165104504,10072.57,93.09000000000015,100093.09,1.0009,vad,5min
128,2023-10-30 15:40:00,347.31,347.67,347.155,347.63,无,347.63,0,0.0,0.0,29,90020.52,0.10071018710055035,10081.27,101.79000000000087,100101.79000000001,1.001,vad,5min
129,2023-10-30 15:45:00,347.63,347.83,347.46,347.75,无,347.75,0,0.0,0.0,29,90020.52,0.10074144947613646,10084.75,105.27000000000044,100105.27,1.0011,vad,5min
130,2023-10-30 15:50:00,347.81,348.38,347.64,348.275,无,348.275,0,0.0,0.0,29,90020.52,0.10087819681674565,10099.974999999999,120.49499999999898,100120.495,1.0012,vad,5min
131,2023-10-30 15:55:00,348.29,348.64,348.08,348.57,无,348.57,0,0.0,0.0,29,90020.52,0.10095501754985192,10108.53,129.0500000000011,100129.05,1.0013,vad,5min
132,2023-10-30 16:00:00,348.56,348.66,348.34,348.5,无,348.5,0,0.0,0.0,29,90020.52,0.10093679008922866,10106.5,127.02000000000044,100127.02,1.0013,vad,5min
133,2023-10-30 16:05:00,348.5,348.56,347.91,348.15,无,348.15,0,0.0,0.0,29,90020.52,0.1008456416985469,10096.349999999999,116.86999999999898,100116.87,1.0012,vad,5min
