,时间,open,high,low,close,交易状态,交易价格,交易数量,交易金额,交易费用,当前持仓,可用资金,资金利用率,资产价值,未实现盈亏,总资产,净值,策略,时间框架
0,2023-10-26 18:05:00,344.23,344.76,344.19,344.45,无,344.45,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
1,2023-10-26 18:10:00,344.46,345.06,344.45,344.82,无,344.82,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
2,2023-10-26 18:15:00,344.86,344.99,344.46,344.62,无,344.62,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
3,2023-10-26 18:20:00,344.66,344.81,344.43,344.52,无,344.52,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
4,2023-10-26 18:25:00,344.5,345.235,344.24,345.2,无,345.2,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
5,2023-10-26 18:30:00,345.2,346.01,344.85,345.83,无,345.83,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
6,2023-10-26 18:35:00,345.84,345.85,345.35,345.44,无,345.44,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
7,2023-10-26 18:40:00,345.44,345.89,345.17,345.5,无,345.5,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
8,2023-10-26 18:45:00,345.53,346.13,345.43,345.81,无,345.81,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
9,2023-10-26 18:50:00,345.84,346.4,345.76,346.33,无,346.33,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
10,2023-10-26 18:55:00,346.33,346.66,346.23,346.66,无,346.66,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
11,2023-10-26 19:00:00,346.655,347.0,346.47,346.82,无,346.82,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
12,2023-10-26 19:05:00,346.83,346.89,346.23,346.3,无,346.3,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,1.0,SupertrendATR,5min
