time,open,high,low,close
2008/11/06 14:30,31.5,31.86,30.56,30.74
2008/11/06 18:30,30.76,31.17,30.4,30.59
2008/11/06 22:30,30.76,31.17,30.4,30.59
2008/11/07 02:30,30.76,31.17,30.4,30.59
2008/11/07 06:30,30.76,31.17,30.4,30.59
2008/11/07 10:30,30.76,31.17,30.4,30.59
2008/11/07 14:30,30.93,31.48,30.59,31.28
2008/11/07 18:30,31.3,31.43,30.72,31.25
2008/11/07 22:30,31.3,31.43,30.72,31.25
2008/11/08 02:30,31.3,31.43,30.72,31.25
2008/11/08 06:30,31.3,31.43,30.72,31.25
2008/11/08 10:30,31.3,31.43,30.72,31.25
2008/11/08 14:30,31.3,31.43,30.72,31.25
2008/11/08 18:30,31.3,31.43,30.72,31.25
2008/11/08 22:30,31.3,31.43,30.72,31.25
2008/11/09 02:30,31.3,31.43,30.72,31.25
2008/11/09 06:30,31.3,31.43,30.72,31.25
2008/11/09 10:30,31.3,31.43,30.72,31.25
2008/11/09 14:30,31.3,31.43,30.72,31.25
2008/11/09 18:30,31.3,31.43,30.72,31.25
2008/11/09 22:30,31.3,31.43,30.72,31.25
2008/11/10 02:30,31.3,31.43,30.72,31.25
2008/11/10 06:30,31.3,31.43,30.72,31.25
2008/11/10 10:30,31.3,31.43,30.72,31.25
2008/11/10 14:30,31.94,31.97,30.55,30.79
2008/11/10 18:30,30.79,31.04,30.4,30.76
2008/11/10 22:30,30.79,31.04,30.4,30.76
2008/11/11 02:30,30.79,31.04,30.4,30.76
2008/11/11 06:30,30.79,31.04,30.4,30.76
2008/11/11 10:30,30.79,31.04,30.4,30.76
2008/11/11 14:30,30.47,30.51,29.73,29.86
2008/11/11 18:30,29.87,30.76,29.78,30.15
2008/11/11 22:30,29.87,30.76,29.78,30.15
2008/11/12 02:30,29.87,30.76,29.78,30.15
2008/11/12 06:30,29.87,30.76,29.78,30.15
2008/11/12 10:30,29.87,30.76,29.78,30.15
2008/11/12 14:30,29.65,29.79,29.16,29.35
2008/11/12 18:30,29.35,29.37,28.65,28.73
2008/11/12 22:30,29.35,29.37,28.65,28.73
2008/11/13 02:30,29.35,29.37,28.65,28.73
2008/11/13 06:30,29.35,29.37,28.65,28.73
2008/11/13 10:30,29.35,29.37,28.65,28.73
2008/11/13 14:30,28.63,28.97,27.28,28.03
2008/11/13 18:30,28.07,30.53,27.96,30.51
2008/11/13 22:30,28.07,30.53,27.96,30.51
2008/11/14 02:30,28.07,30.53,27.96,30.51
2008/11/14 06:30,28.07,30.53,27.96,30.51
2008/11/14 10:30,28.07,30.53,27.96,30.51
2008/11/14 14:30,29.8,30.05,28.96,29.49
2008/11/14 18:30,29.48,30.41,28.87,28.97
2008/11/14 22:30,29.48,30.41,28.87,28.97
2008/11/15 02:30,29.48,30.41,28.87,28.97
2008/11/15 06:30,29.48,30.41,28.87,28.97
2008/11/15 10:30,29.48,30.41,28.87,28.97
2008/11/15 14:30,29.48,30.41,28.87,28.97
2008/11/15 18:30,29.48,30.41,28.87,28.97
2008/11/15 22:30,29.48,30.41,28.87,28.97
2008/11/16 02:30,29.48,30.41,28.87,28.97
2008/11/16 06:30,29.48,30.41,28.87,28.97
2008/11/16 10:30,29.48,30.41,28.87,28.97
2008/11/16 14:30,29.48,30.41,28.87,28.97
2008/11/16 18:30,29.48,30.41,28.87,28.97
2008/11/16 22:30,29.48,30.41,28.87,28.97
2008/11/17 02:30,29.48,30.41,28.87,28.97
2008/11/17 06:30,29.48,30.41,28.87,28.97
2008/11/17 10:30,29.48,30.41,28.87,28.97
2008/11/17 14:30,28.49,29.23,28.26,28.86
2008/11/17 18:30,28.86,29.06,28.32,28.37
2008/11/17 22:30,28.86,29.06,28.32,28.37
2008/11/18 02:30,28.86,29.06,28.32,28.37
2008/11/18 06:30,28.86,29.06,28.32,28.37
2008/11/18 10:30,28.86,29.06,28.32,28.37
2008/11/18 14:30,28.56,28.74,27.79,27.98
2008/11/18 18:30,27.97,28.38,27.39,28.34
2008/11/18 22:30,27.97,28.38,27.39,28.34
2008/11/19 02:30,27.97,28.38,27.39,28.34
2008/11/19 06:30,27.97,28.38,27.39,28.34
2008/11/19 10:30,27.97,28.38,27.39,28.34
2008/11/19 14:30,28.4,28.78,27.47,27.47
2008/11/19 18:30,27.46,27.8,26.8,26.83
2008/11/19 22:30,27.46,27.8,26.8,26.83
2008/11/20 02:30,27.46,27.8,26.8,26.83
2008/11/20 06:30,27.46,27.8,26.8,26.83
2008/11/20 10:30,27.46,27.8,26.8,26.83
2008/11/20 14:30,26.53,27.45,26.0,26.81
2008/11/20 18:30,26.79,27.15,25.48,25.63
2008/11/20 22:30,26.79,27.15,25.48,25.63
2008/11/21 02:30,26.79,27.15,25.48,25.63
2008/11/21 06:30,26.79,27.15,25.48,25.63
2008/11/21 10:30,26.79,27.15,25.48,25.63
2008/11/21 14:30,25.96,26.24,25.21,25.55
2008/11/21 18:30,25.55,26.68,25.05,26.68
2008/11/21 22:30,25.55,26.68,25.05,26.68
2008/11/22 02:30,25.55,26.68,25.05,26.68
2008/11/22 06:30,25.55,26.68,25.05,26.68
2008/11/22 10:30,25.55,26.68,25.05,26.68
2008/11/22 14:30,25.55,26.68,25.05,26.68
2008/11/22 18:30,25.55,26.68,25.05,26.68
2008/11/22 22:30,25.55,26.68,25.05,26.68
2008/11/23 02:30,25.55,26.68,25.05,26.68
2008/11/23 06:30,25.55,26.68,25.05,26.68
2008/11/23 10:30,25.55,26.68,25.05,26.68
2008/11/23 14:30,25.55,26.68,25.05,26.68
2008/11/23 18:30,25.55,26.68,25.05,26.68
2008/11/23 22:30,25.55,26.68,25.05,26.68
2008/11/24 02:30,25.55,26.68,25.05,26.68
2008/11/24 06:30,25.55,26.68,25.05,26.68
2008/11/24 10:30,25.55,26.68,25.05,26.68
2008/11/24 14:30,27.22,28.05,26.99,27.78
2008/11/24 18:30,27.78,28.64,27.68,28.3
2008/11/24 22:30,27.78,28.64,27.68,28.3
2008/11/25 02:30,27.78,28.64,27.68,28.3
2008/11/25 06:30,27.78,28.64,27.68,28.3
2008/11/25 10:30,27.78,28.64,27.68,28.3
2008/11/25 14:30,28.63,28.64,27.53,27.84
