datetime,open,high,low,close,volume,atr
2023-10-26 16:55:00,342.71,343.04,342.57,342.59,107792,0.656651697
2023-10-26 17:00:00,342.64,343.76,342.43,343.57,244283,0.704748004
2023-10-26 17:05:00,343.54,343.95,343.49,343.72,143380,0.687266004
2023-10-26 17:10:00,343.75,343.75,343.45,343.66,75112,0.659604147
2023-10-26 17:15:00,343.64,343.93,343.53,343.54,90825,0.641060993
2023-10-26 17:20:00,343.56,343.56,342.47,342.54,158820,0.673128065
2023-10-26 17:25:00,342.58,343.04,342.5,342.84,78622,0.663618918
2023-10-26 17:30:00,342.86,343.45,342.35,343.39,152206,0.694788995
2023-10-26 17:35:00,343.39,343.51,343.15,343.22,139226,0.670875495
2023-10-26 17:40:00,343.22,343.99,343.15,343.88,136402,0.682955817
2023-10-26 17:45:00,343.88,344.51,343.87,344.28,181596,0.679887544
2023-10-26 17:50:00,344.27,344.38,343.9,344.18,79785,0.665609863
2023-10-26 17:55:00,344.16,344.42,343.85,344.395,75849,0.658780587
2023-10-26 18:00:00,344.4,344.63,344.1,344.225,105492,0.649581973
2023-10-26 18:05:00,344.23,344.76,344.19,344.45,93479,0.643897547
2023-10-26 18:10:00,344.46,345.06,344.45,344.82,97030,0.641476293
2023-10-26 18:15:00,344.86,344.99,344.46,344.62,70243,0.633513701
2023-10-26 18:20:00,344.66,344.81,344.43,344.52,59332,0.61540558
2023-10-26 18:25:00,344.5,345.235,344.24,345.2,117284,0.642519467
2023-10-26 18:30:00,345.2,346.01,344.85,345.83,172045,0.679482362
2023-10-26 18:35:00,345.84,345.85,345.35,345.44,102909,0.666662193
2023-10-26 18:40:00,345.44,345.89,345.17,345.5,109535,0.670472037
2023-10-26 18:45:00,345.53,346.13,345.43,345.81,158231,0.672581177
2023-10-26 18:50:00,345.84,346.4,345.76,346.33,140735,0.67025395
2023-10-26 18:55:00,346.33,346.66,346.23,346.66,84074,0.653092953
2023-10-26 19:00:00,346.655,347.0,346.47,346.82,140297,0.6443006
2023-10-26 19:05:00,346.83,346.89,346.23,346.3,128840,0.645421985
2023-10-26 19:10:00,346.31,346.35,345.54,345.61,122389,0.657177558
2023-10-26 19:15:00,345.61,345.85,345.34,345.59,116361,0.646664875
2023-10-26 19:20:00,345.62,345.81,345.3,345.57,94100,0.636903098
2023-10-26 19:25:00,345.53,345.77,345.33,345.35,106699,0.622838591
2023-10-26 19:30:00,345.36,345.38,344.88,344.97,119531,0.614064406
2023-10-26 19:35:00,344.93,344.95,343.91,344.1,197518,0.645916949
2023-10-26 19:40:00,344.12,344.12,343.35,343.6,175603,0.654780024
2023-10-26 19:45:00,343.6,343.77,343.275,343.59,195491,0.643367165
2023-10-26 19:50:00,343.57,344.33,343.55,343.71,280868,0.653126653
2023-10-26 19:55:00,343.69,344.02,343.45,343.6,567260,0.647189035
2023-10-27 13:30:00,346.43,347.46,346.41,346.84,443310,0.876675533
2023-10-27 13:35:00,346.91,347.25,346.48,346.61,210208,0.869055852
2023-10-27 13:40:00,346.6,347.33,346.33,347.29,230663,0.878409005
2023-10-27 13:45:00,347.3,347.62,346.09,346.18,282952,0.924951219
2023-10-27 13:50:00,346.185,346.85,346.09,346.11,195508,0.913168989
2023-10-27 13:55:00,346.1,347.03,346.07,346.93,131523,0.916514061
2023-10-27 14:00:00,346.95,347.32,346.13,347.25,285911,0.936048771
2023-10-27 14:05:00,347.29,347.67,346.15,346.5,217461,0.977759573
2023-10-27 14:10:00,346.52,347.97,346.52,347.4,160620,1.012919604
2023-10-27 14:15:00,347.37,347.47,346.48,346.56,126190,1.011282489
2023-10-27 14:20:00,346.7,347.62,346.7,347.03,105597,1.014762311
2023-10-27 14:25:00,347.03,347.701,346.78,346.9,189437,1.008065003
2023-10-27 14:30:00,346.89,347.23,346.56,346.98,139585,0.983917503
2023-10-27 14:35:00,347.01,347.52,346.29,346.35,203095,1.001494824
2023-10-27 14:40:00,346.38,346.4,345.66,345.71,204976,0.982816623
2023-10-27 14:45:00,345.75,346.45,345.68,346.32,114227,0.967615435
2023-10-27 14:50:00,346.39,347.07,346.37,346.84,115260,0.952071476
2023-10-27 14:55:00,346.82,347.23,346.76,347.15,103390,0.917637799
2023-10-27 15:00:00,347.15,347.325,346.89,347.105,188209,0.88316367
2023-10-27 15:05:00,347.1,347.8,347.01,347.68,106582,0.876509122
2023-10-27 15:10:00,347.69,348.115,347.42,348.075,197341,0.863544185
2023-10-27 15:15:00,348.08,348.77,348.08,348.3,222160,0.851505315
2023-10-27 15:20:00,348.29,348.84,348.14,348.61,98554,0.840683507
2023-10-27 15:25:00,348.59,348.7,348.32,348.41,120628,0.807777542
2023-10-27 15:30:00,348.41,348.52,347.49,347.56,146756,0.823650575
2023-10-27 15:35:00,347.59,348.23,347.53,347.87,105189,0.814818391
2023-10-27 15:40:00,347.9,348.07,347.51,347.57,54619,0.796617077
2023-10-27 15:45:00,347.58,347.65,347.16,347.56,60109,0.774715857
2023-10-27 15:50:00,347.62,347.88,347.53,347.6,42619,0.74437901
2023-10-27 15:55:00,347.56,348.07,347.555,348.01,39704,0.727994795
2023-10-27 16:00:00,347.99,348.24,347.53,347.82,80416,0.726709453
2023-10-27 16:05:00,347.85,348.28,347.75,348.1,50213,0.712658778
2023-10-27 16:10:00,348.08,348.13,347.37,347.42,44680,0.716040293
2023-10-27 16:15:00,347.405,347.92,347.31,347.89,52913,0.708465987
